整租 | 霖雨桥地铁站 中汇沃尔玛北辰财富中心 单身公寓 拎包,北辰财富中心,1900,https://km.58.com/zufang/41680139370649x.shtml?houseId=1413016155120654&shangquan=kmbeichen&shangquanId=12065&dataSource=0
整租 | 南屏街 五一路地铁口空间俊园 豪华装修 拎包入住 可,南屏街片区,2800,https://km.58.com/zufang/41701074316311x.shtml?houseId=1415695829949455&shangquan=kmnanping&shangquanId=12060&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1TQnj0Yn1Dvn1DQXaO1pZwVUT7bsycvPANzmyN3sHnQP10VPjc1miY3ryDdsyDznHcLuWbdmvRWuEDdnHcvnHcOnWNQPjTvn9DKnHEQPHmOPH9zrHbYrHEdPEDQn1mknTDQn1mknTDQsjDkTHDvnEDQPH9vnjTQn1bYPjEQTHnKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDznEDKsHDKTHDzPjNdn1ELn1DOnWEQPWEvnjbKP9DKnEDkmWDvPHPBnBYLm193sHw6PvDVrym1uaY1mHIhuyDvryDQnyDKnHcYPHN1Pj01nWTYPH0OrHEzPTDQnWEdPHnYP1nznjEQPHbzrjnzTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8nWDfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTyDduynYuWwbsyNzuhnVPjELuiY3rH9Lsy7hPHIhrjT3PjEQP9DKnTDKTHTKnHmQsjDdrj9_nHDOrjbKn9DkmWKWnWFBujIWPhnQuyuh
单间 | 直租学府人家 近金鼎科技园 财税学校 冶金学校 理工,虹山片区,699,https://km.58.com/hezu/41691047290404x.shtml?houseId=1414412368797706&shangquan=kmhongshan&shangquanId=12056&dataSource=0
整租 | 霖雨桥地铁站热门天怡峰景小区 精装修空房2室  仅1,北辰财富中心,1800,https://km.58.com/zufang/41715930764555x.shtml?houseId=1417597453755397&shangquan=kmbeichen&shangquanId=12065&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1DdrHnkP1mYPHNdXaO1pZwVUT7bsHn3njDLP1wbsHKhPH9VPjmOriYOnj6bsHn1nyc3n1mkPvD1mkDdrHn1nHm3P1NknWndnkDKnHEQP1NOP1Edn10dPHnOPkDQnWbknTDQnWbknTDQsjDkTHDvnEDQPH9vnjTzPHbvPjmvTHmKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnED1n9DKsHDKTHDzPjmknjN1rj9YrHD1PWmYnjTKP9DKnED3ryEOnyD3niYzPWm3sHEdnymVrAFhraY1njIhnjTLmv7bnHnKnHcYPWTkPHn3rjmQP1DOPHNznTDQnWEvnjTdn193PHNknj9vPWNvTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8n1cfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTyNLuHFWuHD3sH6bmHcVPAndraYOuj9Lsyu-mWmvuAubuH-bPkDKnTDKTHTKnHmQsjDdrjb_nHDOrHEKn9DknHEdPyDvPj-hPvm3uHD3
单间 | 首月免租金 可短租 星耀路 新亚洲体育城 包物业宽带,新亚洲体育城,800,https://km.58.com/hezu/41474683049484x.shtml?houseId=1386717746012164&shangquan=xinyazhoutyc&shangquanId=13044&dataSource=0
整租 | 2300元急租呈贡实力心城两房带家具家电可直接拎包入,市政府,2300,https://km.58.com/zufang/41693265624332x.shtml?houseId=1414696315329545&shangquan=chenggongxc&shangquanId=13323&dataSource=0
单间 | 减免一月房租月光宝盒，超大空间，近购物公园十里长街大,世纪半岛,1200,https://km.58.com/hezu/41649638858022x.shtml?houseId=1409112089894918&shangquan=shijibandao&shangquanId=13041&dataSource=0
整租 | 俊发盛唐城旁云南映象精装2房带家具家电拎包入住随时看,世博片区,2200,https://km.58.com/zufang/41681412853026x.shtml?houseId=1413179161206799&shangquan=shibopian&shangquanId=12071&dataSource=0
整租 | 出租 融城优郡旁刘家营对面 中间楼层 带全套家电家具,船房片区,1700,https://km.58.com/zufang/41712482928135x.shtml?houseId=1417156130513929&shangquan=chuanfangp&shangquanId=12079&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1DzPj9zrHc3nHndXaO1pZwVUT7bsynzPhDQPW9dsHn3rjcVPjD3uadBnAcOsH0Lryu-PW0vuAP-nEDvPH93njDYn1m3nW9zPTDKnHEQP1DdPWD1njNQn1bzrEDQnW9knTDQnW9knTDQsjDkTHDvnEDQPH9drHbOP1ELnjE1THcKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDvTEDVnEDKnHcYPWn1njTznjcznWcQPjDYPTDvTEDQTHEzuhNzm1K6sHPBmhnVPj-6uiYOuHTOsyNQn1bdnW91mvu6nkDQnWEvn1nknjckn1E3njNdPHNzTHDzPjm1n1TknWTzrjTOPjmvrj9KTEDKTEDVTEDKpZwY0ZnlszqoUi3draOWUvYfmv6dXMNf0A3vskDKnWczsWcQPi3Oni33PkDkTHTKTHD_nHDKXLYKnHTkn1nKnHTknHNkP9DOujn1uAcvmzYYPj6WsHE3rAEVmyN3midbPhmdPhnOm1DQrHnKTHTKTEDkTHDvnikQPHbQsjDznjT3THcKnjE1mWmYnjmQPhE3PvcYuE
整租 | 地铁口 一环边 体育馆 董家湾小学 延安医院背后 超,白塔路,2200,https://km.58.com/zufang/41705379405188x.shtml?houseId=1416246879708173&shangquan=baitalu&shangquanId=12064&dataSource=0
整租 | 市中心 南屏街 金鹰A座 精装3室4楼 全套家具家电,南屏街片区,2700,https://km.58.com/zufang/41682586061088x.shtml?houseId=1413329330691082&shangquan=kmnanping&shangquanId=12060&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQPW9zPH9vnjmQnj93XaO1pZwVUT7bsHn3njDLP1wbsHKhPH9VPjmOriYOnj6bsHn1nyc3n1mkPvD1mkDQnWTQrHcQPHnvPWDdnTDKnHEQn1nzrHn1njmOnHT3n9DQn1mknTDQn1mknTDQsjDkTHDvnEDQPH9vnjTzPHbvPjmdTHnKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnED1n9DKsHDKTHDzPjm1PWDYn1DOPHckP1cLnjNKP9DKnEDvnynOmyD1nzYOPhmLsHEduHEVrADYnBYdn1F6mH9QmHbzPj0KnHcYPWnvnHE1nWTLn10kP1NznEDQnWEvn1mQPjnznjc1n193nHmkTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8n1cfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTHbdrjEkPyR6symLuHnVPjbvuaY3rjDLsHckn1nknj0YnADkPEDKnTDKTHTKnHmQsjDdrj9_nHDOrjbKn97WryuBPjE3PjcknhuWrjIh
整租 | 樱花苑 3室1厅1卫,大渔,1600,https://km.58.com/zufang/41602016257411x.shtml?houseId=1403016396971023&shangquan=laoxiancheng&shangquanId=13324&dataSource=0
单间 | 海伦国际(商住楼) 4室2厅3卫 主卧 南北,世纪城,1099,https://km.58.com/hezu/41692155301542x.shtml?houseId=1414554195075082&shangquan=kmsjc&shangquanId=12100&dataSource=0
整租 | 青年路 大悦城 昆明站 鑫都韵城精装单间 无中介 可,昆明站,680,https://km.58.com/zufang/41727348042790x.shtml?houseId=1419058864873482&shangquan=kunmingzhan&shangquanId=13047&dataSource=0
整租 | 霖雨桥地铁站金江小区涵苑下叠加 带花园带车库适合办公,江东花园,14000,https://km.58.com/zufang/41714514188439x.shtml?houseId=1417416131503104&shangquan=kmjd&shangquanId=12068&dataSource=0
整租 | 兆丰六千城 1800！1800！豪装拎包入住 近环城,吴井路,1800,https://km.58.com/zufang/41649900193056x.shtml?houseId=1409145541157888&shangquan=wujinglu&shangquanId=13045&dataSource=0
整租 | 高新区西城时代 3室跃层 带家具家电 房屋干净清爽,高新区,2400,https://km.58.com/zufang/41671320656675x.shtml?houseId=1411887359728653&shangquan=kmgaoxin&shangquanId=12055&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQPW0Qn1ckPWNvPW0dXaO1pZwVUT7bsyDQnHbQmvcQsHbkPAnVPjTLnaYOrj0ksHFWmhE1uHD3ryNvnEDvnWbvPj91rHN1rjEYP9DKnHEQnH93P1ndrH0zrjmdnkDQn1NknTDQn1NknTDQsjDkTHDvnEDQPH9vnjTknWbvnH9QTHbKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDQnEDKsHDKTHDzPjmknWDQnHn3Pj0zn19vPHmKP9DKnE7huhm3nAnYriYLuAcQsHE1ujDVrjTduid6uHFBPAmOnHmLn1mKnHcYPWTznHDQn1bvPjmvPW93nTDQnWEvnjcQnHD1rHTdrHEvPWcYTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8nHDfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTHPhPvNknAwBsH0vrjnVPjbYmidBrAcQsHNvP1TOPHTQnym1rEDKnTDKTHTKnHmQsjDdrj9_nHDOrjEKn9DYnAcOnWIWmyckPWwBmhR-
单间 | 火车北站地铁口天宇广场合租单间600到1400全包,火车北站,600,https://km.58.com/hezu/41679775533315x.shtml?houseId=1412969584238605&shangquan=huochebei&shangquanId=12067&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHmLrH0LPHN1n1nQPg980v6YUykKuaYQnAnkuWnOPadbuWcYsHE3uWnVrjIWradhn1TQn1EYPjubuHbKPW9vnWTQPHTQnWDOrHmKTHDYnHcOPWbdrjEzn19vnjNKnHTznjTKnHTznjTKnikQnTDQPWDKnHN3PWTknj01PHNznTDQPE7AEzdPsXXMMSpcfSi38Syc-SB6Jrh6VXpRVryEBrXMMSpLVSprb9DQTHDdTEDVnEDKnHcYPWnOn1cLnWDdrHEdP1c3nTDvTEDQTH7brH03uh76syNvPymVPjczrid6rjczsyPWnycLnyP6uhnQn9DQnWEvn1b1nW0znW9OPj9kP1TYTHDzPjm1rHnzP1cQrjTYnHmdnHcKTEDKTEDVTEDKpZwY0ZnlszqoUi3draOWUvYfmv6dXMNf0A3QPitKTHcznB3znHN8rHD8rj0KnTDkTEDQsjDzTgVqTHDknjn1THDknjDdnjmKmhFhnAnvnH9VPWFhPzYYnjF6sH9dmHmVuj0kujR-mHELm1bQTEDkTEDKnTDQPWD_nHN3rikQnHbOP9DzTHDOmymzrHTkPAEOnhcvPAN
整租 | 河畔俊园 2室2厅1卫,新螺蛳湾,1500,https://km.58.com/zufang/41679137271208x.shtml?houseId=1412887886732290&shangquan=xinluo&shangquanId=12099&dataSource=0
单间 | 雨花毓秀精装修带卫生间 850包水电 价格实惠,大学城,850,https://km.58.com/hezu/41591070108712x.shtml?houseId=1401615289441281&shangquan=chenggongzb&shangquanId=13325&dataSource=0
整租 | 呈贡万达旁七彩云南第壹城 地铁口 学校旁精装修两房拎,市政府,2300,https://km.58.com/zufang/41580123529629x.shtml?houseId=1400214127369217&shangquan=chenggongxc&shangquanId=13323&dataSource=0
单间 | 昆明恒大名都 2室2厅1卫 次卧 东,高新区,680,https://km.58.com/hezu/41725663233940x.shtml?houseId=1418843209931782&shangquan=kmgaoxin&shangquanId=12055&dataSource=0
整租 | 巨和齐泰城 2室 1厅1卫,白龙路片区,2400,https://km.58.com/zufang/41724868392332x.shtml?houseId=1418741470256133&shangquan=bailonglu&shangquanId=12063&dataSource=0
整租 | 白马小区 地铁附近 精装修大三室 带家具家电 可拎包,白马,2200,https://km.58.com/zufang/41702786816021x.shtml?houseId=1395975789831177&shangquan=baima&shangquanId=13040&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1TzP19vrjDvnjcQXaO1pZwVUT7bsHPbuWb3ujIBsHI6mhNVPjnkrad6nH9zsymYnjNYPAuhrj9km9Dvn1EzPjbdPjndPWczrTDKnHnOPHbLPH03rH91nHDLPkD3rHTkTH9OnjTKnikQnTDQPWDKnHN3PWTknW0kPWnknTDYTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKn1nKTiYQTEDQnWEvn1TvPjb3P1EdP1EOPHTYTHmKTHDKP1NYujE3uWEVPvF-PiYYnHmksH-hmW9VuHDQP1wWmHczn1mkTHDzPjm1njmYrH93rjEQPjbzPj9KnHcYPWnkPWEOrj9krjmvPjTvPTDKTEDKTiYKTE7CIZwk01CfsvVVsWN3shPfUiqWpZRlIiqkUWn1skDKnWczsWcQPi3Oni33PkDkTHTKTHD_nHDKXLYKnHTkn1nKnHTknHNkP97WrH66n1DLrid6njDksHEOuHNVrj9knBY3uj93ujcQuWnOnAcKTHTKTEDkTHDvnikQPHbQsjDzrHmYTHcKuHu6nHNdP1-hnhcknvNzu9
单间 | 实图月付650元 高层光线好 世纪半岛爱琴海前卫壹号,世纪半岛,650,https://km.58.com/hezu/41579651452938x.shtml?houseId=1400153701571592&shangquan=shijibandao&shangquanId=13041&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHNLrHmdnHEdnWb1rZ980v6YUykKuaYznHwBujmOmiYQm1PWsHEduAEVmhE1midBPHI6m17BmW9kPvnKP1TznHb1nW9LrHmOPjcKTHDYnjTQPHnLnjDdP1DdrHcKnHTznjTKnHTznjTKnikQnTDQPWDKnHN3PWTknHbYnHNknkDQPT7AEzdPsXXMMSpcfSi38Syc-SB6Jrh6VXpRVryEBrXMMSpLVSprb9DQTHcvTEDVnEDKnHcYPWcdP1bzP1E3rHT3nHnYPTDvTEDQTy7-nH9kmhF6sHm3n1nVPANYmzd6rjD3sH76nWIhmvcQmyFbnkDQnWEvnWNLrHcLPWDYrHDkPjmYTHDzPjmzPH0OnW0dPjndrHNknj9KTEDKTEDVTEDKpZwY0ZnlszqoUi3draOWUvYfmv6dXMNf0A3zPBtKTHcznB3znHN8rHD8rj0KnTDkTEDQsjDzTgVqTHDknjn1THDknjDdnjmKrjE3PhnznycVnW6-uaYYnjEksycOuWmVnWmdmHbLuHDLn1-BTEDkTEDKnTDQPWD_nHNOnikQnWbvPEDzTHbvrycOPA7WuWI-P1NzrHm
单间 | 火车北站 滨江俊园 单间出租 包水电费物业费 拎包入,滨江俊园,900,https://km.58.com/hezu/41229284037655x.shtml?houseId=1355306672790532&shangquan=binjjy&shangquanId=12077&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHczrHc3PjT1P1mdPg980v6YUykKuad6nHDOnyPBniYOnjwWsHEkP1TVrH9LnaYzmvFbnvNQrj--PWDKPHn3nWnOnHD3nWmQrHnKTHD1PHN1njmvP1cLrHTdn1cKPWDknTDvnHTkTHD_nHTKnHmQTHDdrjmknjTzrHmQrjDKnHnKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDQnEDKsHDKTHDzn1cQPjDLnHb1nHNLnjbOPHnKP9DKnE7bPWDLnAnduadhPWNdsHEOP1EVmyFbmBY3PhnknhR6nj0vPWcKnHc1nWDYnH0QrHE1P1nzrjn3PEDQnWnznHEQP1DOn10knWDOPHckTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8nHDfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQn97exEDQnjT1nkDQnjTQPHTvTywBPjKhmHN3sHcOmWNVPjmdPaYOPjcvsH7-mhNQPjNLuW76nkDKnTDKTHTKnHmQsjDdrjb_nHcknjmKn97Bm1czmHIBPH9vPh7-Phmv
整租 | 找室友 可短租 拎包入住 未名城(3期) 爱情海附近,大商汇,780,https://km.58.com/zufang/41701922979205x.shtml?houseId=1415804456952837&shangquan=dashanghui&shangquanId=12080&dataSource=0
单间 | 无中介青年路国防印刷厂宿舍近红会医院圆通山南屏街翠湖,白马,950,https://km.58.com/hezu/41649746860322x.shtml?houseId=1409125913715713&shangquan=baima&shangquanId=13040&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnHmYrH0YPW9vnjnznM980v6YUykKuaY1uAmOrAELmBYLmyF-sHE1nj9VmHD3nBdhPjTdPjwhuW93nAcKP1TYn1NYnjnOPW0YrH9KTHDYnjbQnWNOnHnLnHNLnHnKrjbknTD3rHTkTHD_nHTKnHmQTHDdrjmknjcLnjm1njDKnHNKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnED1nkDKsHDKTHDzPjN3PWbYnWmdnHNOnHTvPHmKP9DKnE7Wrj-bPh7BmzY3rjR-sHwWPjTVrAw-mBY3uAN3PjD1mWTduW0KnHcYPH9vrHEzPWm1n1ndnHDvrTDQnWEdrjmOPjcvPH0YPWnkrHDzTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8n1nfTEDznWc8nWDdsWbQsW9LTHTKnTDKnikQn97exEDQnjT1nkDQnjTQPHTvTH-BP1bOuH0YsH-WnWNVPjnQPid6mH9YsHn3myFhnh7brj66PkDKnTDKTHTKnHmQsjDdrHD_nHcOPWEKn9DdPjnduHTQnAuWP10Ynj93
整租 | 大都摩天豪华装修， 舒适又温馨房屋朝南通透 采光好,世纪城,1500,https://short.58.com/zd_p/4f3d92ed-a80b-4af7-9580-b023bf8fb2ab/?target=tk-16-xgk_hvimob_54091514817622q-feykn&end=end&lego_ts=nHTksAEVP1EOnj76rynVnjbLPBYYujnzsycLm19VuhPWPWNdmHmvuyNQsjEkP1mdPjNkn1NQrjbO&shangquan=kmsjc&shangquanId=12100&dataSource=1
单间 | 海伦国际 世纪城 精装修 交通便利 直通公寓 拎包入,世纪城,1099,https://km.58.com/hezu/41659017682214x.shtml?houseId=1410312579358731&shangquan=kmsjc&shangquanId=12100&dataSource=0
单间 | 小资月付无压力  无中介,火车北站,1000,https://km.58.com/hezu/39888598469406x.shtml?houseId=1183698918153216&shangquan=huochebei&shangquanId=12067&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIit1rH93rjNOrjEvrHEkPM980v6YUykKuad6mWTvnjnOmBd-Pju-sHwWnH9Vrym1mzYQuH7hmHDYrjmLuyDKPW0QnH0OnHc3P193P1DKTHDQrjnvrH9OnH9QPHnznHmKnHT1njTKnHT1njTKnikQnTDQPWDKnHN3PWTknjD3PWnvrEDLTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKnHTKTiYQTEDQnWEvn1E3rHTYPjNQnjndnHnvTHmKTHDKnjbQPyn1PWDVmWn3uiYYrjmOsH93mHNVujmQrj0QPH6bn1wBTHDzPjm1Pj9OnjELnHDkrjDOrjEKnHcYPWnYrjbkPjmzP1D3n1mQP9DKTEDKTiYKTE7CIZwk01CfsvVVsWN3shPfUiqWpZRlIiqkUWDkskDKnWczsWcQPi3Oni33PkDkTHTKTHD_nHcKXLYKnHTkn1nKnHTknHNkP97BmH6BP1N1PzYYnvELsHEkn1bVrH0YuaYvnWKBPvEYP1mdP1NKTHTKTEDkTHDvnikQPH9OsjDQrHbvTHcKm1bdnjKbPAmQnjD3PHcOu9
整租 | 凯旋花园(别墅) 3室2厅3卫,滇池路片区,3800,https://km.58.com/zufang/41726883992593x.shtml?houseId=1418999467122700&shangquan=dianchilu&shangquanId=12082&dataSource=0
整租 | 日均58元起，金沅宾馆免押金拎包入住，房量有限，（可,长水机场,1740,https://short.58.com/zd_p/c614f14b-69da-488c-b509-10d11b25fd54/?target=tk-16-xgk_hvimob_57964418214880q-feykn&end=end&lego_ts=nHTksAEVP1EOnj76rynVnjbLPBYYujnzsycLm19VuhPWPWNdmHmvuyNQsjEQPW9knjN1rHNkn1nL&shangquan=csjckm&shangquanId=32294&dataSource=1
单间 | 广福城沁福园 4室2厅2卫 其他 南,世纪半岛,700,https://km.58.com/hezu/41679522747407x.shtml?houseId=1412937227312142&shangquan=shijibandao&shangquanId=13041&dataSource=0
整租 | 可月付 近万达 云纺片区 精装一居室 家具家电齐全,云纺片区,1150,https://km.58.com/zufang/41724610693027x.shtml?houseId=1418708482220036&shangquan=yunfangp&shangquanId=12087&dataSource=0
整租 | 俊发城紫薇苑 2室2厅1卫,江东花园,2300,https://km.58.com/zufang/41647415016727x.shtml?houseId=1408827437882376&shangquan=kmjd&shangquanId=12068&dataSource=0
单间 | 无中介可短租 紫薇苑近北部汽车站瀑布公园农大 精装修,江东花园,700,https://km.58.com/hezu/41668046516609x.shtml?houseId=1411468269624324&shangquan=kmjd&shangquanId=12068&dataSource=0
整租 | 急租急租   联通大厦旁全新装修大四房   全套家具,国贸中心,3200,https://km.58.com/zufang/41647517726730x.shtml?houseId=1408840584782855&shangquan=gmzx&shangquanId=12091&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQPWELPHDLP1cvP1nkXaO1pZwVUT7bsyEzP166nHwWsyNYuHNVPjubraY3P10YsHRbnAuWPvnLPyDOnEDvPWNvn1E3njTQrjEYrEDKnHEkrj9YnjN3Pj03nW9dPEDQn1NknTDQn1NknTDQsjDkTHDvnEDQPH9drHb3P103PWcYTHNKwbnVHiLMGO4hBs4b8sf-BFxCCpWGCUgh-UH-bcWMGO4hVexhWGcKnEDQTEDVnEDKnHcYPWcdnHb1PW9Ln10QP10vnTDvTEDQTynknhmdmHcLsHTvmH9VPAnkniY3ujnksyR-mvDYPAEdmH7WPTDQnWEvnWNQrHnvrHbdn1mYrjmYTHDzPjmzPHDOn1mOn1mvn1c1nWTKTEDKTEDVTEDKpZwY0ZnlszqoUi3draOWUvYfmv6dXMNfTy9vHNtvUjuZpL6FNZuDUDGrcAPR0h0q5EDznWc8nWDdsWbQsW9LTHTKnTDKnikQnE7exEDQnjT1nkDQnjTQPHTvTycvmy7WuHczsyuhrj0VPjwhPzdBmh7WsHEvm103ujDLPyE1n9DKnTDKTHTKnHmQsjDdrHT_nHcknWTKn97-mhcQn1bQmWDznHEzujEO
单间 | 龙苑盛景  无中介费 包物业宽带 近金刚寺 交通方便,北市区,800,https://km.58.com/hezu/41724865770023x.shtml?houseId=1418741134449670&shangquan=beishiqu&shangquanId=12052&dataSource=0
整租 | 大降价押一付三 滨江俊园精装2居室带全套便宜出租 手,滨江俊园,2400,https://km.58.com/zufang/41560835833370x.shtml?houseId=1397745302332419&shangquan=binjjy&shangquanId=12077&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQPHmkrjndrjn1n10kXaO1pZwVUT7bsyuBm1RBrjFbsHP-mhNVPjFbuadBPvcYsH0vrHbzujF6nyPWmkDdn19dnjmznWNkPHEOPTDKnHnOP10YPHnknWn1nWEQrEDQn1cknTDQn1cknTDQsjDkTHDvnEDQPH9vnjTYn1NYn1DQTHDvTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKPj9KTiYQTEDQnWEdPH0YrHmYrjN3n1E1PjcYTHmKTHDKPj-BnW7huhNVP1PhPzYYnvmksyc1PW9VmhcQnjP6mHRhPhEdTHDzPjNdP1EOPWEOrjEQP1cdPjEKnHcYPHNLPjbvPjbznHcdP1b3PTDKTEDKTiYKTE7CIZwk01CfsvVVsWN3shPfUiqWpZRlIiqkUWE3skDKnWczsWcQPi3Oni33PkDkTHTKTHD_nHDKXLYKnHTkn1nKnHTknHNkP9D3rj9krHR-PiYzmvu6sHwhm1EVmymdraYOPyE1mW--PAP6uW9KTHTKTEDkTHDvnikQPH9OsjDznjTvTHcKnW-WrjnvnAn1PjD3myc1rT
整租 | 西城时代 1室1厅1卫,高新区,1788,https://km.58.com/zufang/41702390970391x.shtml?houseId=1415864360459279&shangquan=kmgaoxin&shangquanId=12055&dataSource=0
单间 | 近爱情海 广源小区 单间 无中介 可月付 拎包入住,世纪城,850,https://km.58.com/hezu/41723942397572x.shtml?houseId=1418622942223369&shangquan=kmsjc&shangquanId=12100&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfpARlIitYnH0zn1bYnWnOP1NLnM980v6YUykKuaYvPvEvrAnOmiYOn1TksHw-PHbVmhc1riYOPWRBn1mkPADQmWDKP1T1PW9dPjndnHckP1TKTHDYnH9vnWcOPjcznWn1PWbKnHT1njTKnHT1njTKnikQnTDQPWDKnHN3PHbOrHnkP10dn9DdTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKn9DKsHDKTHDzPjmzPW0vnjDYPH91nj0kP1cKP9DKnEDOmhNOujmOmBYzPHcLsHEOmW9VrH0Lnzd6uyNLPhnOPj--n1nKnHcYPWcvP1mknHNOPW01nHnOn9DQnWEvnWmLPWTQPHDLnjcLn1c3TEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsLK8nBtKTHcznB3znHN8rHD8rj0KnTDkTEDQsjDzTgVqTHDknjn1THDknjDdnjmKnhc1rHFhnjbVnADOuBYYuH0Lsy7WujTVPhmYmWn1rjmduADzTEDkTEDKnTDQPWD_nHNOnakQnWTzrEDzTHwhPvDOrAu6uHNvP1K6nHD
单间 | 短租无中介精装修小菜园，近圆通山教育厅美丽家园莲花片,翠湖,650,https://km.58.com/hezu/41668235943199x.shtml?houseId=1411492516256777&shangquan=cuihu&shangquanId=12053&dataSource=0
整租 | 广福路上可看西山睡美人，度假区，临近万达，看房方便,大商汇,2300,https://km.58.com/zufang/41715229192972x.shtml?houseId=1417507652083715&shangquan=dashanghui&shangquanId=12080&dataSource=2&legourl=//legoclick.58.com/jump?target=szqoUi3draOWUvYfXMRhmyOMs1EQP1DdnWcOnHbzrH0zXaO1pZwVUT7bsyEzP166nHwWsyNYuHNVPjubraY3P10YsHRbnAuWPvnLPyDOnEDvrHbLnjDdPjbYnjDLP9DKnHEQP1NkP1mdnWT3n10QPEDQn19OrEDQn19OrEDQsjDkTHDvnEDQPH9drHb3P103PWcdTHcQTNujsNYVOlXxOCB4OsBeOmBgl2AClpAdOGyYOuacOlXxOoXLOCliTHDKnEDKsHDKTHDzPjNOrHDOnH0YnW0QnH9krjTKP9DKnE7-rHR-rH0YPaYknyDQsHEYnWNVmhRBPBYYP19dujwhPjTkmhnKnHcYPHbOnHbQP1NdP1DYnHNkPTDQnWEdrHbQrHDLPjmOnjE3rjnzTEDKTEDKsEDKTy6YIZK1rBtfpvY8PH98mvqVsvPCIgGdsk7CPbd5PhkvwvV3iRKvwAQ2HBKWRgFM5HYKnWczsWcQPi3Oni33PkDkTHTKTHD_nHDKXLYKnHTkn1nKnHTknHNkP9D1rH-6uHPhraYvnANzsHEvPAnVrAcLraY3P17bmH9vmHEvPynKTHTKTEDkTHDvnikQPHbQsjDznjTOTHcKPAR6rH9vnvF-PjN3mvmOmE
整租 | 整租可月付 大商汇 官南大道 精装一居室 家具家电齐,官南大道,1099,https://km.58.com/zufang/41724288007716x.shtml?houseId=1418667180400647&shangquan=guannandao&shangquanId=12090&dataSource=0
整租 | 世纪城海伦国际 精装房两房 带全套家具家电 景观房,世纪城,2400,https://km.58.com/zufang/41712917577228x.shtml?houseId=1417211765660677&shangquan=kmsjc&shangquanId=12100&dataSource=0
